owner,name,sshUrl,url,baseRepo,baseRef,baseRefPrefix,headRepo,headRef,headRefPrefix,title,number,state,draft,files,createdAt,publishedAt,mergedAt,closedAt,groupId,artifactId,version
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,apache/pinot,message-header,refs/heads/,Adding support to extract values from message header.,9096,OPEN,False,11,2022-07-23,2022-07-23,,,org.apache.pinot,pinot-core,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,nizarhejazi/pinot,null_agg,refs/heads/,Proper null handling in Aggregation functions for SV data types,9086,OPEN,False,30,2022-07-21,2022-07-21,,,org.apache.pinot,pinot-core,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,somandal/pinot,throw-exception-mv-first-select-orderby,refs/heads/,Throw an exception when MV columns are the first order-by expression in selection order-by queries,9078,OPEN,False,2,2022-07-21,2022-07-21,,,org.apache.pinot,pinot-core,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,deemoliu/incubator-pinot,qiaochu/persist-snapshot,refs/heads/,[Upsert] persist validDocsIndex snapshot for Pinot upsert optimization,9062,OPEN,False,22,2022-07-15,2022-07-15,,,org.apache.pinot,pinot-core,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,gortiz/pinot,optimize-order-by-sorted-then-unsorted,refs/heads/,"optimize `order by sorted ASC, unsorted` and `order by DESC` cases",8979,OPEN,False,30,2022-06-27,2022-06-27,,,org.apache.pinot,pinot-core,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,PrachiKhobragade/pinot,freshnessLag,refs/heads/,add freshness lag when there are no consuming segments,8911,OPEN,False,2,2022-06-16,2022-06-16,,,org.apache.pinot,pinot-core,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,dongxiaoman/incubator-pinot,xd-openapi-v3,refs/heads/,Refactoring Controller Endpoint to be Interfaces,8885,OPEN,True,58,2022-06-13,2022-06-13,,,org.apache.pinot,pinot-core,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,klsince/pinot,extract_sort_fields_better_locality,refs/heads/,[Draft] extract sort fields into a temp file for better data locality for sorting,8879,OPEN,False,7,2022-06-10,2022-06-10,,,org.apache.pinot,pinot-core,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,vvivekiyer/pinot,resiliency_serverSelection,refs/heads/,[WIP; DO NOT REVIEW] Adaptive Server Selection,8808,OPEN,True,27,2022-05-31,2022-05-31,,,org.apache.pinot,pinot-core,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,kriti-sc/incubator-pinot,#6487-query-stats-numStartreeUsed,refs/heads/,#6487 Expose `numStartreeUse` statistics for number of segments using startree index,8780,OPEN,False,13,2022-05-26,2022-05-26,,,org.apache.pinot,pinot-core,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,somandal/pinot,group-by-improvements,refs/heads/,Improve accuracy of aggregate group-by without order-by queries by adding a query rewriter to convert aggregate group-by only queries to add order-by,8758,OPEN,False,5,2022-05-23,2022-05-23,,,org.apache.pinot,pinot-core,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,apache/pinot,cancel-request,refs/heads/,Initial commit to support cancelling a long running query (WIP),9141,OPEN,False,7,2022-08-01,2022-08-01,,,org.apache.pinot,pinot-server,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,dongxiaoman/incubator-pinot,xd-openapi-v3,refs/heads/,Refactoring Controller Endpoint to be Interfaces,8885,OPEN,True,58,2022-06-13,2022-06-13,,,org.apache.pinot,pinot-server,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,mneedham/pinot,timestamp-index-investigation,refs/heads/,Add timestamp index fields to schema for the real-time ingestion path,9134,OPEN,False,5,2022-07-29,2022-07-29,,,org.apache.pinot,pinot-spi,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,priyen/pinot,priyen/distinct-count-hll-preagg-july,refs/heads/,[Work in progress] Distinct count HLL pre-agg on realtime side,9097,OPEN,False,12,2022-07-25,2022-07-25,,,org.apache.pinot,pinot-spi,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,apache/pinot,message-header,refs/heads/,Adding support to extract values from message header.,9096,OPEN,False,11,2022-07-23,2022-07-23,,,org.apache.pinot,pinot-spi,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,deemoliu/incubator-pinot,qiaochu/persist-snapshot,refs/heads/,[Upsert] persist validDocsIndex snapshot for Pinot upsert optimization,9062,OPEN,False,22,2022-07-15,2022-07-15,,,org.apache.pinot,pinot-spi,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,ankitsultana/pinot,tg-part-1,refs/heads/,[colocated-join] Adds Table Group and Reusable Instance Partitions Support,8989,OPEN,False,22,2022-06-29,2022-06-29,,,org.apache.pinot,pinot-spi,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,abhs50/pinot,8869,refs/heads/,Log Request header for Broker,8907,OPEN,False,2,2022-06-16,2022-06-16,,,org.apache.pinot,pinot-spi,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,dongxiaoman/incubator-pinot,xd-openapi-v3,refs/heads/,Refactoring Controller Endpoint to be Interfaces,8885,OPEN,True,58,2022-06-13,2022-06-13,,,org.apache.pinot,pinot-spi,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,xiangfu0/pinot,broker-routing-to-other-tenants,refs/heads/,Adding support for broker routing queries to other tenants,8813,OPEN,False,10,2022-06-01,2022-06-01,,,org.apache.pinot,pinot-spi,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,vvivekiyer/pinot,resiliency_serverSelection,refs/heads/,[WIP; DO NOT REVIEW] Adaptive Server Selection,8808,OPEN,True,27,2022-05-31,2022-05-31,,,org.apache.pinot,pinot-spi,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,mneedham/pinot,timestamp-index-investigation,refs/heads/,Add timestamp index fields to schema for the real-time ingestion path,9134,OPEN,False,5,2022-07-29,2022-07-29,,,org.apache.pinot,pinot-tools,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,xiangfu0/pinot,broker-routing-to-other-tenants,refs/heads/,Adding support for broker routing queries to other tenants,8813,OPEN,False,10,2022-06-01,2022-06-01,,,org.apache.pinot,pinot-tools,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,jugomezv/pinot,jugomez/ArrayConcatFloatDoubleLong,refs/heads/,"Add support for arrayConcatLong, arrayConcatFloat, arrayConcatDouble",9131,OPEN,False,2,2022-07-29,2022-07-29,,,org.apache.pinot,pinot-common,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,vvivekiyer/pinot,regexp_replace,refs/heads/,Add support for regexpReplace scalar function,9123,OPEN,False,3,2022-07-28,2022-07-28,,,org.apache.pinot,pinot-common,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,ravishankar15/pinot,consume-metadata,refs/heads/,Add additional metadata to the response,9122,OPEN,False,10,2022-07-28,2022-07-28,,,org.apache.pinot,pinot-common,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,SabrinaZhaozyf/incubator-pinot,yifzhao/base64,refs/heads/,Add support for Base64 Encode/Decode Scalar Functions,9114,OPEN,False,5,2022-07-27,2022-07-27,,,org.apache.pinot,pinot-common,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,apache/pinot,message-header,refs/heads/,Adding support to extract values from message header.,9096,OPEN,False,11,2022-07-23,2022-07-23,,,org.apache.pinot,pinot-common,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,nizarhejazi/pinot,null_agg,refs/heads/,Proper null handling in Aggregation functions for SV data types,9086,OPEN,False,30,2022-07-21,2022-07-21,,,org.apache.pinot,pinot-common,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,deemoliu/incubator-pinot,qiaochu/persist-snapshot,refs/heads/,[Upsert] persist validDocsIndex snapshot for Pinot upsert optimization,9062,OPEN,False,22,2022-07-15,2022-07-15,,,org.apache.pinot,pinot-common,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,gyokketto/pinot,update-dependencies,refs/heads/,update-dependencies,8991,OPEN,True,100,2022-06-29,2022-06-29,,,org.apache.pinot,pinot-common,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,ankitsultana/pinot,tg-part-1,refs/heads/,[colocated-join] Adds Table Group and Reusable Instance Partitions Support,8989,OPEN,False,22,2022-06-29,2022-06-29,,,org.apache.pinot,pinot-common,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,gortiz/pinot,optimize-order-by-sorted-then-unsorted,refs/heads/,"optimize `order by sorted ASC, unsorted` and `order by DESC` cases",8979,OPEN,False,30,2022-06-27,2022-06-27,,,org.apache.pinot,pinot-common,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,dongxiaoman/incubator-pinot,xd-openapi-v3,refs/heads/,Refactoring Controller Endpoint to be Interfaces,8885,OPEN,True,58,2022-06-13,2022-06-13,,,org.apache.pinot,pinot-common,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,xiangfu0/pinot,broker-routing-to-other-tenants,refs/heads/,Adding support for broker routing queries to other tenants,8813,OPEN,False,10,2022-06-01,2022-06-01,,,org.apache.pinot,pinot-common,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,vvivekiyer/pinot,resiliency_serverSelection,refs/heads/,[WIP; DO NOT REVIEW] Adaptive Server Selection,8808,OPEN,True,27,2022-05-31,2022-05-31,,,org.apache.pinot,pinot-common,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,kriti-sc/incubator-pinot,#6487-query-stats-numStartreeUsed,refs/heads/,#6487 Expose `numStartreeUse` statistics for number of segments using startree index,8780,OPEN,False,13,2022-05-26,2022-05-26,,,org.apache.pinot,pinot-common,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,somandal/pinot,group-by-improvements,refs/heads/,Improve accuracy of aggregate group-by without order-by queries by adding a query rewriter to convert aggregate group-by only queries to add order-by,8758,OPEN,False,5,2022-05-23,2022-05-23,,,org.apache.pinot,pinot-common,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,vvivekiyer/pinot,regexp_replace,refs/heads/,Add support for regexpReplace scalar function,9123,OPEN,False,3,2022-07-28,2022-07-28,,,org.apache.pinot,pinot-integration-tests,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,SabrinaZhaozyf/incubator-pinot,yifzhao/base64,refs/heads/,Add support for Base64 Encode/Decode Scalar Functions,9114,OPEN,False,5,2022-07-27,2022-07-27,,,org.apache.pinot,pinot-integration-tests,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,apache/pinot,message-header,refs/heads/,Adding support to extract values from message header.,9096,OPEN,False,11,2022-07-23,2022-07-23,,,org.apache.pinot,pinot-integration-tests,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,deemoliu/incubator-pinot,qiaochu/persist-snapshot,refs/heads/,[Upsert] persist validDocsIndex snapshot for Pinot upsert optimization,9062,OPEN,False,22,2022-07-15,2022-07-15,,,org.apache.pinot,pinot-integration-tests,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,saurabhd336/pinot,offlineIngestionITs,refs/heads/,Add offline ingestion ITs,8870,OPEN,True,3,2022-06-09,2022-06-09,,,org.apache.pinot,pinot-integration-tests,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,walterddr/pinot,step_2_cluster_test_split,refs/heads/,Split ClusterTest and IntegrationTest,8757,OPEN,False,43,2022-05-23,2022-05-23,,,org.apache.pinot,pinot-integration-tests,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,atris/incubator-pinot,test_add,refs/heads/,Add a test for nested predicates on startree index,8746,OPEN,False,1,2022-05-20,2022-05-20,,,org.apache.pinot,pinot-integration-tests,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,gortiz/pinot,read-parquet-bin-as-text,refs/heads/,[DRAFT] Add a new option to parquet reader to treat binaries as UTF-8 text,9112,OPEN,False,4,2022-07-27,2022-07-27,,,org.apache.pinot,pinot-parquet,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,deemoliu/incubator-pinot,qiaochu/persist-snapshot,refs/heads/,[Upsert] persist validDocsIndex snapshot for Pinot upsert optimization,9062,OPEN,False,22,2022-07-15,2022-07-15,,,org.apache.pinot,pinot-controller,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,gyokketto/pinot,update-dependencies,refs/heads/,update-dependencies,8991,OPEN,True,100,2022-06-29,2022-06-29,,,org.apache.pinot,pinot-controller,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,ankitsultana/pinot,tg-part-1,refs/heads/,[colocated-join] Adds Table Group and Reusable Instance Partitions Support,8989,OPEN,False,22,2022-06-29,2022-06-29,,,org.apache.pinot,pinot-controller,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,gortiz/pinot,wait-for-controller,refs/heads/,Fix a repeatable problem in PinotTaskManagerStatelessTest,8981,OPEN,False,2,2022-06-28,2022-06-28,,,org.apache.pinot,pinot-controller,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,dongxiaoman/incubator-pinot,xd-openapi-v3,refs/heads/,Refactoring Controller Endpoint to be Interfaces,8885,OPEN,True,58,2022-06-13,2022-06-13,,,org.apache.pinot,pinot-controller,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,dongxiaoman/incubator-pinot,xd-openapi-alternative,refs/heads/,Sample change: Define Controller API with openAPI and codegen,8854,OPEN,True,11,2022-06-07,2022-06-07,,,org.apache.pinot,pinot-controller,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,gyokketto/pinot,update-dependencies,refs/heads/,update-dependencies,8991,OPEN,True,100,2022-06-29,2022-06-29,,,org.apache.pinot,pinot-java-client,0.11.0-SNAPSHOT
apache,pinot,ssh://git@github.com:apache/pinot.git,https://github.com/apache/pinot,apache/pinot,master,refs/heads/,kriti-sc/incubator-pinot,#6487-query-stats-numStartreeUsed,refs/heads/,#6487 Expose `numStartreeUse` statistics for number of segments using startree index,8780,OPEN,False,13,2022-05-26,2022-05-26,,,org.apache.pinot,pinot-java-client,0.11.0-SNAPSHOT
fabric8io,kubernetes-client,ssh://git@github.com:fabric8io/kubernetes-client.git,https://github.com/fabric8io/kubernetes-client,fabric8io/kubernetes-client,master,refs/heads/,shawkins/kubernetes-client,unmatched2,refs/heads/,fix #4109: moving template handling to a custom deserializer,4292,OPEN,False,14,2022-07-22,2022-07-22,,,io.fabric8,kubernetes-model-core,6.1-SNAPSHOT
fabric8io,kubernetes-client,ssh://git@github.com:fabric8io/kubernetes-client.git,https://github.com/fabric8io/kubernetes-client,fabric8io/kubernetes-client,master,refs/heads/,shawkins/kubernetes-client,4206,refs/heads/,fix #4206: ensuring null won't be returned from kubernetesdeserializer,4263,OPEN,False,4,2022-07-07,2022-07-07,,,io.fabric8,kubernetes-model-core,6.1-SNAPSHOT
jacoco,jacoco,ssh://git@github.com:jacoco/jacoco.git,https://github.com/jacoco/jacoco,jacoco/jacoco,master,refs/heads/,muminc/jacoco,master,refs/heads/,Add jacoco.append property to the merge goal,1338,OPEN,False,24,2022-06-26,2022-06-26,,,org.jacoco,jacoco-maven-plugin,0.8.9-SNAPSHOT
jtablesaw,tablesaw,ssh://git@github.com:jtablesaw/tablesaw.git,https://github.com/jtablesaw/tablesaw,jtablesaw/tablesaw,master,refs/heads/,lacinoire/tablesaw,add-test,refs/heads/,Add test for Sort.getOrder and Sort.create,1124,OPEN,False,1,2022-06-16,2022-06-16,,,tech.tablesaw,tablesaw-core,1.0.0-SNAPSHOT
apache,hbase,ssh://git@github.com:apache/hbase.git,https://github.com/apache/hbase,apache/hbase,master,refs/heads/,wchevreuil/hbase,HBASE-27264-master,refs/heads/,HBASE-27264 Add options to consider compressed size when delimiting blocks during hfile writes,4675,OPEN,False,3,2022-08-02,2022-08-02,,,org.apache.hbase,hbase,3.0.0-alpha-4-SNAPSHOT
apache,hbase,ssh://git@github.com:apache/hbase.git,https://github.com/apache/hbase,apache/hbase,master,refs/heads/,abhradeepkundu/hbase,HBASE-27265,refs/heads/,HBASE-27265 : Tool to read StoreFileTrackerFile,4673,OPEN,False,4,2022-08-02,2022-08-02,,,org.apache.hbase,hbase,3.0.0-alpha-4-SNAPSHOT
apache,hbase,ssh://git@github.com:apache/hbase.git,https://github.com/apache/hbase,apache/hbase,master,refs/heads/,Apache9/hbase,HBASE-27212,refs/heads/,HBASE-27212 Implement a new table based replication queue storage and…,4672,OPEN,True,56,2022-08-01,2022-08-01,,,org.apache.hbase,hbase,3.0.0-alpha-4-SNAPSHOT
